日期	淨值
20180720	23.4100
20180719	23.4200
20180718	23.4400
20180717	23.3600
20180716	23.1800
20180713	23.2500
20180712	23.2000
20180711	23.0200
20180710	23.1900
20180709	23.1300
20180706	22.9500
20180705	22.7800
20180703	22.6000
20180702	22.7200
20180629	22.6600
20180628	22.6200
20180627	22.5100
20180626	22.7000
20180625	22.6100
20180622	22.9600
20180621	22.9600
20180620	23.1600
20180619	23.1100
20180618	23.2500
20180615	23.2500
20180614	23.2800
20180613	23.2300
20180612	23.3000
20180611	23.2300
20180608	23.2000
20180607	23.2000
20180606	23.2800
20180605	23.0900
20180604	23.0600
20180601	22.9200
20180531	22.7200
20180530	22.8300
20180529	22.6200
20180525	22.8300
20180524	22.8500
20180523	22.9000
20180522	22.9000
20180518	22.8700
20180517	22.8500
20180516	22.8200
20180515	22.7200
20180514	22.9200
20180511	22.9200
20180509	22.6500
20180508	22.4300
20180507	22.3600
20180504	22.2400
20180503	21.9900
20180502	22.0300
20180430	22.0300
20180427	22.1500
20180426	22.2400
20180425	21.9900
20180424	22.0400
20180423	22.2900
20180420	22.3100
20180419	22.4200
20180418	22.5600
20180417	22.5300
20180416	22.2800
20180413	22.0900
20180412	22.1400
20180411	21.9700
20180410	22.0300
20180409	21.6800
20180406	21.6000
20180405	22.0400
20180404	21.9800
20180403	21.7800
20180329	22.0200
20180328	21.7700
20180327	21.9500
20180326	22.3400
20180323	21.7800
20180322	22.1600
20180321	22.6300
20180320	22.6800
20180319	22.5700
20180316	22.8200
20180315	22.7800
20180314	22.8100
20180313	22.8500
20180312	23.0100
20180309	22.9800
20180308	22.5600
20180307	22.4200
20180306	22.3500
20180305	22.2400
20180302	22.0500
20180301	21.9500
20180228	22.2600
20180227	22.4500
20180226	22.6900
20180223	22.5100
20180222	22.2000
20180221	22.2100
20180220	22.3100
20180216	22.3700
20180215	22.3900
20180214	22.1800
20180213	21.8400
20180212	21.7700
20180209	21.5100
20180208	21.2100
20180207	21.9700
20180205	21.7900
20180202	22.6200
20180201	23.0300
20180131	22.9800
20180130	22.9500
20180129	23.1600
20180126	23.3000
20180125	23.0800
20180124	23.0700
20180123	23.1000
20180122	23.0400
20180119	22.9600
20180118	22.8300
20180117	22.8400
20180116	22.6300
20180112	22.7000
20180111	22.6200
20180110	22.4800
20180109	22.6400
20180108	22.6100
20180105	22.5600
20180104	22.3800
20180103	22.3200
20180102	22.1500
20171229	21.9800
20171228	22.0800
20171227	22.0300
20171222	22.0300
20171221	22.0400
20171220	22.0400
20171219	22.0200
20171218	22.0400
20171215	21.9400
20171214	21.7600
20171213	21.8000
20171212	21.8200
20171211	21.8200
20171208	21.8000
20171207	21.7200
20171206	21.6600
20171205	21.6400
20171204	21.6700
20171201	21.8800
20171130	21.9700
20171129	21.7800
20171128	21.9800
20171127	21.8500
20171124	21.8900
20171122	21.8100
20171121	21.8600
20171120	21.6800
20171117	21.6100
20171116	21.6500
20171115	21.4400
20171114	21.5700
20171113	21.5700
20171110	21.5300
20171109	21.5700
20171108	21.7400
20171107	21.6900
20171106	21.7000
20171103	21.6100
20171102	21.4300
20171031	21.3800
20171030	21.2600
20171027	21.3000
20171026	21.1100
20171025	20.9700
20171024	21.0600
20171023	21.0400
20171020	21.1300
20171019	21.0400
20171018	21.0600
20171017	21.0300
20171016	21.1000
20171013	21.0700
20171012	21.0600
20171011	21.0700
20171010	21.0000
20171009	20.9600
20171006	20.9800
20171005	20.9800
20171004	20.8800
20171003	20.7700
20171002	20.7300
20170929	20.6500
20170928	20.6000
20170927	20.5700
20170926	20.4700
20170925	20.4800
20170922	20.6200
20170921	20.6100
20170920	20.6600
20170919	20.6600
20170918	20.6700
20170915	20.5800
20170914	20.5200
20170913	20.5200
20170912	20.5300
20170911	20.5000
20170908	20.3000
20170907	20.3200
20170906	20.3300
20170905	20.3000
20170901	20.4200
20170831	20.3700
20170830	20.2300
20170829	20.1100
20170828	20.1100
20170825	20.0800
20170824	20.0800
20170823	20.1100
20170822	20.1900
20170821	19.9300
20170818	19.9100
20170817	19.9200
20170816	20.2200
20170814	20.1800
20170811	20.0000
20170810	19.9400
20170809	20.2500
20170808	20.2800
20170807	20.3200
20170804	20.2800
20170803	20.2900
20170802	20.3500
20170801	20.4000
20170731	20.3400
20170728	20.3800
20170727	20.4500
20170726	20.5300
20170725	20.5000
20170724	20.4800
20170721	20.4800
20170720	20.4700
20170719	20.4700
20170718	20.3500
20170717	20.2600
20170714	20.2600
20170713	20.1500
20170712	20.1100
20170711	19.9200
20170710	19.8900
20170707	19.8300
20170706	19.6700
20170705	19.8200
20170703	19.7600
20170630	19.7800
20170629	19.7400
20170628	19.9500
20170627	19.7400
20170626	19.9100
20170622	19.8800
20170621	19.9000
20170620	19.8300
20170619	19.9600
20170616	19.7700
20170615	19.7800
20170614	19.8700
20170613	19.9300
20170612	19.7900
20170609	19.9000
20170608	20.1300
20170607	20.0600
20170606	20.0000
20170602	20.0000
20170601	19.8900
20170531	19.7100
20170530	19.6900
20170526	19.7100
20170524	19.5600
20170523	19.5000
20170522	19.5000
20170519	19.3700
20170518	19.2400
20170517	19.1400
20170516	19.5100
20170515	19.4900
20170512	19.3700
20170511	19.3200
20170510	19.3400
20170509	19.2900
20170508	19.2500
20170505	18.8100
20170504	18.7000
20170503	18.6200
20170502	18.6200
20170428	18.5500
20170427	18.6000
20170426	18.4400
20170425	18.4800
20170424	18.3400
20170421	18.1700
20170420	18.1800
20170419	18.0300
20170418	18.0300
20170413	17.9000
20170412	18.0000
20170411	18.1000
20170410	18.1300
20170407	18.1400
20170406	18.1500
20170405	18.0900
20170404	18.1600
20170403	18.1900
20170331	18.2300
20170330	18.2400
20170329	18.2000
20170328	18.1400
20170327	18.0400
20170324	18.0500
20170323	17.9900
20170322	17.9800
20170321	17.9400
20170320	18.1900
20170317	18.2000
20170316	18.2200
20170315	18.2500
20170314	18.0800
20170313	18.1300
20170310	18.0100
20170309	17.9200
20170308	17.9100
20170307	17.9100
20170306	17.9400
20170303	17.9900
20170302	17.9800
20170301	18.0400
20170228	17.8900
20170227	18.0200
20170223	17.9600
20170222	18.0200
20170221	18.0200
20170217	17.9200
20170216	17.8700
20170215	17.9500
20170214	17.9000
20170213	17.8500
20170210	17.7700
20170209	17.7200
20170208	17.6300
20170207	17.6000
20170206	17.5800
20170203	17.5900
20170202	17.4400
20170201	17.4300
20170131	17.3600
20170130	17.3200
20170127	17.4100
20170126	17.4000
20170125	17.4300
20170124	17.2400
20170123	17.1000
20170120	17.1000
20170119	17.1100
20170118	17.1100
20170117	17.0600
20170113	17.1300
20170112	17.0400
20170111	17.1100
20170110	17.0800
20170109	17.0200
20170106	17.0400
20170105	16.9500
20170104	16.8900
20170103	16.7300
20161230	16.5800
20161229	16.6800
20161228	16.6500
20161227	16.8100
20161223	16.7300
20161222	16.6900
20161221	16.7500
20161220	16.7400
20161219	16.6900
20161216	16.6800
20161215	16.7500
20161214	16.7100
20161213	16.8300
20161212	16.6900
20161209	16.7800
20161208	16.7000
20161207	16.7300
20161206	16.5700
20161205	16.5100
20161202	16.3800
20161201	16.3900
20161130	16.5300
20161129	16.6200
20161128	16.5700
20161125	16.6900
20161123	16.6100
20161122	16.5900
20161121	16.6300
20161118	16.5100
20161117	16.5600
20161116	16.4600
20161115	16.4400
20161114	16.2800
20161111	16.3900
20161110	16.2900
20161109	16.3700
20161108	16.2900
20161107	16.2700
20161104	15.8900
20161103	15.8900
20161102	15.9800
20161031	16.2000
20161028	16.2000
20161027	16.2600
20161026	16.3300
20161025	16.4000
20161024	16.5300
20161021	16.4400
20161020	16.4300
20161019	16.4000
20161018	16.3500
20161017	16.1700
20161014	16.2700
20161013	16.2300
20161012	16.3200
20161011	16.3400
20161010	16.6500
20161007	16.6100
20161006	16.6800
20161005	16.6900
20161004	16.5800
20161003	16.6400
20160930	16.6700
20160929	16.5000
20160928	16.6100
20160927	16.5200
20160926	16.3800
20160923	16.5300
20160922	16.6600
20160921	16.5300
20160920	16.3900
20160919	16.4100
20160916	16.4000
20160915	16.4500
20160914	16.2700
20160913	16.2300
20160912	16.4500
20160909	16.2400
20160908	16.6400
20160907	16.6800	
20160906	16.7000
20160902	16.6800
20160901	16.6200
20160831	16.5900
20160830	16.6400
20160829	16.6500
20160826	16.5900
20160825	16.5500
20160824	16.5600
20160823	16.6800
20160822	16.6100
20160819	16.5800
20160818	16.5900
20160817	16.5200
20160816	16.5000
20160812	16.5300
20160811	16.5000
20160810	16.3900
20160809	16.4800
20160808	16.4400
20160805	16.4900
20160804	16.3800
20160803	16.3700
20160802	16.3400
20160801	16.4600
20160729	16.4400
20160728	16.4600
20160727	16.4300
20160726	16.4100
20160725	16.3700
20160722	16.4000
20160721	16.3100
20160720	16.3900
20160719	16.2300
20160718	16.2700
20160715	16.2300
20160714	16.2500
20160713	16.1500
20160712	16.1800
20160711	16.0500
20160708	15.9600
20160707	15.6800
20160706	15.6200
20160705	15.5600
20160701	15.7200
20160630	15.6700
20160629	15.4300
20160628	15.1300
20160627	14.8500
20160624	15.2300
20160622	15.6900
20160621	15.6900
20160620	15.6900
20160617	15.5500
20160616	15.6300
20160615	15.6200
20160614	15.6200
20160613	15.6200
20160610	15.7700
20160609	16.0400
20160608	16.1200
20160607	16.1000
20160606	16.1100
20160603	16.0300
20160602	16.1100
20160601	16.0500
20160531	16.0200
20160527	16.0100
20160526	15.9600
20160525	15.9600
20160524	15.8800
20160523	15.6200
20160520	15.6300
20160519	15.4900
20160518	15.5700
20160517	15.4900
20160513	15.4600
20160512	15.5100
20160511	15.5800
20160510	15.7400
20160509	15.4900
20160506	15.4500
20160504	15.4100
20160503	15.5400
20160502	15.7300
20160429	15.5700
20160428	15.7100
20160427	15.8700
20160426	15.8500
20160425	15.8000
20160422	15.8700
20160421	15.9000
20160420	15.9500
20160419	15.9300
20160418	16.0300
20160415	15.9600
20160414	15.9900
20160413	15.9400
20160412	15.6900
20160411	15.6200
20160408	15.6500
20160407	15.6200
20160406	15.8100
20160405	15.6100
20160404	15.7700
20160401	15.8600
20160331	15.7100
20160330	15.7300
20160329	15.6300
20160324	15.4100
20160323	15.4300
20160322	15.5500
20160321	15.5400
20160318	15.5200
20160317	15.4100
20160316	15.3600
20160315	15.2400
20160314	15.2700
20160311	15.2900
20160310	15.0100
20160309	15.0000
20160308	14.9700
20160307	15.1700
20160304	15.2300
20160303	15.1300
20160302	15.1000
20160301	15.0400
20160229	14.6300
20160226	14.7600
20160225	14.6900
20160224	14.4600
20160223	14.4100
20160222	14.6300
20160219	14.4400
20160218	14.3800
20160217	14.5300
20160216	14.2000
20160212	13.8600
20160211	13.6000
20160210	13.7400
20160209	13.6700
20160208	13.6100
20160205	14.0400
20160204	14.5200
20160203	14.5100
20160203	14.5100
20160202	14.4900
20160202	14.4900
20160201	14.8500
20160201	14.8500
20160129	14.8200
20160129	14.8200
20160128	14.4000
20160128	14.4000
20160127	14.4100
20160127	14.4100
20160126	14.6700
20160126	14.6700
20160125	14.5300
20160125	14.5300
20160122	14.7800
20160122	14.7800
20160121	14.3600
20160121	14.3600
20160120	14.3400
20160120	14.3400
20160119	14.4500
20160119	14.4500
20160115	14.4400
20160115	14.4400
20160114	14.7700
20160114	14.7700
20160113	14.6000
20160113	14.6000
20160112	15.1000
20160112	15.1000
20160111	14.9700
20160111	14.9700
20160108	14.9500
20160108	14.9500
20160107	15.1300
20160106	15.5400
20160105	15.7400
20160104	15.8000
20151231	16.1500
20151230	16.3100
20151229	16.4400
20151228	16.2600
20151224	16.2500
20151223	16.2600
20151222	16.0800
20151221	16.0100
20151218	15.9100
20151217	16.1600
20151216	16.3800
20151215	16.1500
20151214	15.9800
20151211	15.9200
20151210	16.3300
20151209	16.2800
20151208	16.5100
20151207	16.5500
20151204	16.6900
20151203	16.3300
20151202	16.5700
20151201	16.6900
20151130	16.5300
20151127	16.6200
20151125	16.5400
20151124	16.5100
20151123	16.4800
20151120	16.5100
20151119	16.4400
20151118	16.4700
20151117	16.1700
20151116	16.1100
20151113	15.8900
20151112	16.1000
20151111	16.3000
20151110	16.3200
20151109	16.3300
20151106	16.5000
20151105	16.3500
20151104	16.3400
20151103	16.3400
20151102	16.2700
20151030	16.1200
20151029	16.1800
20151028	16.3100
20151027	16.0900
20151026	16.1300
20151023	16.1700
20151022	16.0600
20151021	15.7800
20151020	15.9600
20151019	16.0400
20151016	16.0500
20151015	15.9800
20151014	15.7100
20151013	15.7500
20151012	15.8700
20151009	15.8300
20151008	15.7300
20151007	15.6700
20151006	15.6000
20151005	15.7700
20151002	15.5300
20151001	15.2700
20150930	15.2400
20150929	14.9300
20150928	14.9400
20150925	15.4400
20150924	15.4800
20150923	15.5100
20150922	15.5400
20150921	15.8300
20150918	15.7800
20150917	15.9700
20150916	15.9600
20150915	15.8000
20150914	15.6000
20150911	15.6600
20150910	15.5600
20150909	15.5100
20150908	15.7400
20150904	15.3200
20150903	15.5400
20150902	15.5200
20150901	15.2600
20150831	15.7300
20150828	15.9100
20150827	15.9000
20150826	15.5100
20150825	14.9400
20150824	15.0600
20150821	15.5900
20150820	16.0500
20150819	16.5000
20150818	16.6600
20150817	16.7400
20150814	16.6400
20150813	16.6000
20150812	16.5600
20150811	16.6200
20150810	16.8300
20150807	16.6400
20150806	16.6600
20150805	16.9500
20150804	16.8500
20150803	16.9100
20150731	16.9600
20150730	17.0700
20150729	17.0400
20150728	16.9400
20150727	16.7700
20150724	16.9500
20150723	17.0600
20150722	17.1200
20150721	17.1700
20150720	17.2400
20150717	17.2100
20150716	17.1300
20150715	17.0000
20150714	17.0700
20150713	16.9500
20150710	16.7600
20150709	16.4700
20150708	16.4000
20150707	16.7400
20150706	16.7500
20150702	16.7500
20150701	16.7500
20150630	16.6200
20150629	16.5300
20150626	16.9400
20150625	16.9700
20150624	16.9600
20150622	17.0900
20150619	17.0000
20150618	17.0900
20150617	16.9200
20150616	16.8900
20150615	16.7400
20150612	16.8200
20150611	16.9200
20150610	16.8700
20150609	16.6700
20150608	16.6400
20150605	16.7900
20150604	16.7300
20150603	16.8500
20150602	16.7700
20150601	16.7800
20150529	16.7600
20150528	16.8800
20150527	16.8900
20150526	16.7000
20150522	16.8800
20150521	16.8700
20150520	16.8100
20150519	16.8300
20150518	16.8500
20150515	16.7700
20150513	16.5700
20150512	16.5400
20150511	16.5800
20150508	16.6300
20150507	16.5200
20150506	16.3900
20150505	16.4100
20150504	16.6000
20150430	16.4200
20150429	16.6100
20150428	16.6400
20150427	16.6700
20150424	16.7400
20150423	16.7200
20150422	16.7100
20150421	16.6100
20150420	16.6000
20150417	16.4700
20150416	16.7300
20150415	16.7100
20150414	16.6000
20150413	16.6300
20150410	16.7200
20150409	16.6600
20150408	16.5400
20150407	16.3900
20150402	16.2600
20150401	16.1900
20150331	16.2600
20150330	16.4200
20150327	16.2400
20150326	16.1200
20150325	16.1500
20150324	16.4600
20150323	16.5200
20150320	16.6000
20150319	16.5000
20150318	16.4800
20150317	16.3400
20150316	16.3700
20150313	16.1100
20150312	16.2000
20150311	15.9900
20150310	15.9900
20150309	16.2500
20150306	16.2000
20150305	16.4400
20150304	16.3600
20150303	16.4100
20150302	16.4900
20150227	16.3100
20150226	16.3600
20150225	16.2500
20150224	16.2200
20150223	16.2000
20150220	16.2300
20150219	16.1300
20150218	16.0800
20150217	16.0700
20150213	16.0200
20150212	15.9100
20150211	15.7200
20150210	15.7100
20150209	15.5200
20150206	15.6300
20150205	15.6200
20150204	15.4300
20150203	15.4700
20150202	15.2800
20150130	15.1300
20150129	15.2900
20150128	15.0800
20150127	15.2800
20150126	15.4500
20150123	15.3800
20150122	15.3500
20150121	15.1800
20150120	15.0700
20150116	15.0300
20150115	14.8200
20150114	15.0000
20150113	15.0600
20150112	15.0700
20150109	15.2200
20150108	15.3400
20150107	15.0000
20150106	14.8400
20150105	15.0400
20150102	15.3300
20141231	15.3600
20141230	15.4900
20141229	15.5900
20141224	15.5500
20141223	15.5700
20141222	15.5500
20141219	15.4600
20141218	15.3800
20141217	15.0200
20141216	14.6600
20141215	14.8000
20141212	14.9100
20141211	15.1500
20141210	15.0800
20141209	15.3500
20141208	15.3100
20141205	15.5000
20141204	15.4600
20141203	15.4200
20141202	15.3200
20141201	15.2800
20141128	15.4700
20141126	15.5200
20141126	15.5200
20141125	15.4900
20141124	15.5100
20141121	15.4300
20141120	15.3300
20141119	15.3000
20141118	15.3500
20141117	15.2600
20141114	15.3100
20141113	15.2600
20141112	15.2800
20141111	15.2900
20141110	15.2500
20141107	15.1900
20141106	15.1900
20141105	15.1000
20141104	15.0600
20141103	15.1700
20141031	15.1900
20141030	14.9500
20141029	14.8400
20141028	14.8600
20141027	14.6300
20141024	14.6900
20141023	14.6100
20141022	14.4400
20141021	14.6200
20141020	14.2300
20141017	14.1000
20141016	13.9300
20141015	13.8200
20141014	13.8400